Group,Solution Id,Language,Complaint Id,Sysmtom,Confirmation,Check Point,Procedure,Root Cause,Solution,Key,is_active
AB,774,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check if air requirement is more than compressor capacity,1) Check the air leakage 2) Excess pressure drop in pipe line 3) Working pressure is lower than the required application pressure,1&2) Air leakages in the pipeline and utility point 3) Pressure not built up due to excess air demand,Arrest all the pipeline leakages Contact nearest ELGi office,,0
AB,775,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check the pressure transmitter malfunction,1)Check the pressure transmitter wiring in adaptor 2)Check the pressure transmitter cable 3)Check the pr Transmitter condition 4)Check the anolog port in neuron controller,1)Loose connection in pressure transmitter adapter 2)Failure of lap cable 3)Failure of pressure transmitter 4)Failure of neuron controller,1)Tighten/Re-crimp the connection with adapter 2)Replace the lap cable 3)Replace the pressure transmitter 4)Replace the Neuron controller,Pressure transmitter,0
AB,776,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Check the Neuron controller malfunction,Check R04 relay (loading/ unloading relay) output in neuron controller,R04 relay failure in neuron controller,Replace the Neuron controller,Neuron controller,0
AB,777,English,88,Loading and unloading problem,Check controller display on the following 1 If the pressure not built up after the controller changeover to load mode 2 If the compressor not unloading after the controller changeover to unload mode,Is the unload mode is enabled,Check the unload mode enable in neuron controller,Unload mode enable in neuron controller,Disable 'unload mode' in operator settings of the Neuron controller,,0
OFSAC,372,English,38,High 1st stage outlet pressure,Check if the actual first stage outlet pressure is higher than the set pressure in the PLC,Is the pressure setting wrong in the PLC?,Visually check if the first stage outlet pressure setting in the PLC matches the recommended specification,1. Wrong first stage outlet pressure setting,1. Correct the setting as recommended in the operation manual.,High first stage outlet pressure,0
OFSAC,373,English,38,High 1st stage outlet pressure,Check if the actual first stage outlet pressure is higher than the set pressure in the PLC,Is the VFD rpm setting wrong? ( If applicable ),Visually check if the minimum and maximum rpm setting in VFD controller display matches the recommended specification.,1. Wrong setting,1. Correct the setting as recommended in the operation manual.,"VFD setting wrong,",0
OFSAC,374,English,38,High 1st stage outlet pressure,Check if the actual first stage outlet pressure is higher than the set pressure in the PLC,Is the VFD ramp-up time wrong? ( If applicable ),Visually check the ramp up time and load delay time in VFD controller display,1. Wrong setting,1. Correct the setting as recommended in the operation manual.,VFD ramp-up time wrong,0
OFSAC,375,English,38,High 1st stage outlet pressure,Check if the actual first stage outlet pressure is higher than the set pressure in the PLC,Is the Intercooler choked at air side?,Check if pressure difference (Delta P) between first stage outlet and second stage inlet > 0.2bar in the PLC (water-cooled - shell side / air-cooled - tube side),1. Dust entry,1. Clean the tube bundle (fin side) and refit 2. Ensure the periodic service,Intercooler choked at the air side,0
OFSAC,376,English,38,High 1st stage outlet pressure,Check if the actual first stage outlet pressure is higher than the set pressure in the PLC,Is the pressure sensor malfunctioning at first stage outlet?,1) Cross verify the pressure reading by interchanging respective pressure transmitters. 2) Cross-check the pressure reading using a master pressure gauge,1. Rust/dust entry,1. Replace the pressure sensor,pressure sensor malfunctioning at first stage outlet,0
OFSAC,377,English,38,High 1st stage outlet pressure,Check if the actual first stage outlet pressure is higher than the set pressure in the PLC,Is the intercooler mist separator choked?,Dismantle the mist separator and visually check if it is in poor condition.,1. Rust/dust entry,1. Replace the mist separator element (mesh) 2. Ensure periodic service,Intercooler mist separator choked,0
OFSAC,378,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Is the second stage inlet pressure setting wrong in the PLC ?,Visually check the setting in the PLC,1. Wrong setting,1. Correct the setting as recommended in the operation manual.,Wrong pressure setting in PLC,0
OFSAC,379,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Are there air leaks at the air circuit joints?,1) Visually check for air leak using bubble method (for various joints) 2) Check for air whistling noise during loading,1.Gaskets / O-ring damage,1. Replace the damaged gasket(s)/ O-rings 2. Ensure periodic service,"air leaks at the air circuit joints, gasket/o-ring damage",0
OFSAC,380,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Is the air filer choked?,Visually check the warning indication in the PLC and the air filter element condition.,1. Dust/moisture entry and end of filter life.,1. Replace the air filter 2. Ensure periodic service 3. Install prefilter,Air filter choke,0
OFSAC,381,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Is there a delay in energizing the 4way solenoid valve?,1. Check the continuity in the 4way solenoid valve by using a multimeter.,1. CR4 relay malfunction 2. The four-way solenoid valve malfunction,1. Replace the relay board 2. Replace the 4-way solenoid valve 3. Ensure periodic service,"CR4 relay malfunction, The four-way solenoid valve malfunction",0
OFSAC,382,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Is there a delay in CCV opening ?,1) The throttle plate is not opening within 10secs during start. (VFD models - after the main motor attains its full speed Start/Delta - after Delta change over) 2) Visually check for CCV opening mark line to be in a vertical position. 3) Check oil pressure in PLC,1. Solenoid valve not energized. 2. CCV stuck because of worn-out piston seal. 3. Low oil pressure because of wrong minimum pressure valve setting,1. Replace the solenoid valve 2. Replace the CCV kit. 3. Optimize the oil pressure between 1.5 to 2.2bar(g). Rotate the MPV top screw clockwise to increase the oil pressure. Ensure MPV setting during replacement of MPV kit. 4. Ensure periodic service,"Solenoid valve not energized, delay in CCV opening, CCV stuck, MPV setting wrong",0
OFSAC,383,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Is the pressure transmitter malfunctioning?,1. Cross verify the pressure reading by interchanging respective pressure transmitters 2. Cross-check the pressure reading using a master pressure gauge,1. Rust/dust particles entry in the transmitters,1. Replace the pressure transmitter,"Pressure transmitter malfunction, Pressure sensor malfunction",0
OFSAC,384,English,39,Low 2nd stage inlet pressure,Check if the actual second stage inlet pressure is lower than the set pressure in the PLC,Is the inter-cooler mist separator choked?,Dismantle the mist separator and visually check if mist separator is in choked condition.,1. Rust/dust particles entry,1. Replace the mist separator element (mesh) 2. Ensure periodic service,intercooler mist separator choked,0
OFSAC,385,English,40,High 2nd stage inlet temperature,Check if the actual second stage inlet temperature is higher than the set temperature in the PLC .,Is the water flow and inlet pressure low ?,Check the water flow using a water flow meter and check the capacity of the water pump.,1. Water flow (Lpm) is lesser than the recommended specification. 2. Water inlet pipe smaller than the recommended size.,1. Advise the customer to check and ensure water flow as per recommendation using the right water pump. 2. Change the water inlet pipe with the recommended size.,Water flow low,0
OFSAC,386,English,40,High 2nd stage inlet temperature,Check if the actual second stage inlet temperature is higher than the set temperature in the PLC .,Is the water inlet temperature high?,Check the water inlet temperature > 32 deg C by using temperature gauge or thermal gun.,1. Inlet water temperature is not maintained as per recommendation,1. Advise the customer to check and ensure water inlet temperature less than <= 32 deg C,High water inlet temperature,0
OFSAC,389,English,40,High 2nd stage inlet temperature,Check if the actual second stage inlet temperature is higher than the set temperature in the PLC .,Is the temperature sensor malfunctioning?,1. Check for temperature sensor loose connections. 2. Check the temperature sensor resistance value with reference to sensor temperature by using a multimeter.,1. Improper wire connections 2. Temperature sensor failure,1. Check and correct the wire connections. 2. Replace the temperature sensor and ensure the temperature sensor resistance value is as per recommendation.,Temperature sensor wire loose connections Temperature sensor malfunction,0
OFSAC,390,English,40,High 2nd stage inlet temperature,Check if the actual second stage inlet temperature is higher than the set temperature in the PLC .,Is differential pressure high between water inlet and outlet?,Check the differential pressure between water inlet and outlet by using pressure gauge as per Spec : 0.75 - 1.0bar,1. Blockage in cooling water pipes or scaling in cooler,"2. Clean the cooling water pipes, clean the cooler bundles, ensure water quality as per specification.",Differential pressure high between the water inlet and outlet,0
OFSAC,391,English,41,High 2nd stage outlet temperature,Check if the actual second stage outlet temperature is higher than the set temperature in the PLC.,Is the intake air filter choked?,1. Visually check for filter choke indication in PLC. 2. Remove the air filter element and check if it is choked.,1. Heavy dust entry 2. Intake filters not replaced as per service interval,1 &2. Replace the air filter 3 - Ensure periodic service 4. Install pre-filter,Intake air filter choke,0
OFSAC,392,English,41,High 2nd stage outlet temperature,Check if the actual second stage outlet temperature is higher than the set temperature in the PLC.,Is the temperature sensor malfunctioning?,1. Check for temperature sensor loose connections. 2. Check the temperature sensor resistance value with reference to sensor temperature by using a multimeter.,1. Improper wire connections 2. Temperature sensor failure,1. Check and correct the wire connections. 2. Replace the temperature sensor and ensure the temperature sensor resistance value is as per recommendation.,Temperature sensor malfunction Temperature sensor failure Temperature sensor wire loose connections,0
OFSAC,393,English,41,High 2nd stage outlet temperature,Check if the actual second stage outlet temperature is higher than the set temperature in the PLC.,Is the discharge check valve malfunctioning?,Dismantle discharge check valve and do the physical inspection for stuck up.,1. Discharge check valve stuck up (either partially closed or fully closed),1. Replace the discharge check valve and ensure the proper functioning of the discharge check valve. 2. Ensure periodic service,"Discharge check valve malfunction, DCV malfunction",0
OFSAC,394,English,41,High 2nd stage outlet temperature,Check if the actual second stage outlet temperature is higher than the set temperature in the PLC.,Is the second stage inlet temperature high ?,"1. Follow the diagnosis steps of ""High 2nd stage inlet temperature""","1. Follow the diagnosis steps of "" High 2nd stage inlet temperature""","1. Follow the diagnosis steps of "" High 2nd stage inlet temperature""",NA,0
OFSAC,395,English,42,High discharge pressure,Check if the actual discharge pressure higher than the set pressure in the PLC,Is the high discharge pressure setting wrong?,Visually check whether factory setting for high discharge pressure trip setting is tempered in the PLC,1. Wrong high discharge pressure trip setting in PLC,1. Check and correct high discharge pressure trip setting. Spec: Rated pressure +0.5bar,Discharge pressure setting wrong,0
OFSAC,396,English,42,High discharge pressure,Check if the actual discharge pressure higher than the set pressure in the PLC,Is the pressure transmitter malfunctioning?,Check if mA of pressure transmitter is not equal to 4mA at zero bar by using a multimeter,1. Pressure transmitter failure,1. Replace the pressure transmitter and ensure mA is equal to 4mA.,pressure transmitter malfunction,0
OFSAC,397,English,42,High discharge pressure,Check if the actual discharge pressure higher than the set pressure in the PLC,Is there an analog input card failure ? ( if applicable),Visually check for negative pressure values in the PLC,1. Analog card internal failure,1. Replace the IF4 card and ensure no negative pressure values appear in the PLC,Analog input card failure,0
OFSAC,398,English,42,High discharge pressure,Check if the actual discharge pressure higher than the set pressure in the PLC,Is there a delay in CCV closing during unloading ?,Visually check for CCV closing mark is not in the horizontal position,1. Solenoid valve not de-energized during unloading 2. Piston seal(CCV) worn out,1. Check and replace the solenoid valve 2. Replace the CCV kit 3. Ensure periodic service,Delay in CCV closing during unloading,0
OFSAC,399,English,42,High discharge pressure,Check if the actual discharge pressure higher than the set pressure in the PLC,Is the air outlet valve not completely open ?,Visually check if air outlet valve is partially closed or fully closed,1. Air outlet valve not fully open,1. Keep the air outlet ball valve fully open,NA,0
OFSAC,400,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is there an oil leakage in the system?,Visually check for oil leakages at the joints,1. Loose joints or o-ring/gasket damage,1. Retighten the joints or replace with new O'rings /gasket appropriately.,Oil leakage,0
OFSAC,401,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is the oil pressure sensor malfunctioning?,Visually check for negative pressure value in the PLC.,1. Pressure sensor failure,1. Replace the pressure sensor and ensure no negative pressure values appear in the PLC,pressure sensor malfunction,0
OFSAC,402,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is there an analog input card failure? ( if applicable),Visually check for negative pressure values in the PLC,1. Analog card internal failure,1.Replace the IF4 card and ensure no negative pressure values appear in the PLC,Analog card failure,0
OFSAC,403,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is the oil pump wiring connection wrong ?,Visually check the phase sequence wiring connection,1. Wrong phase sequence,1. Check and correct phase sequence,NA,0
OFSAC,404,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is the oil level low ?,Visually check the oil level in the gear case,1. Low oil level being filled,1. Check and fill the oil to the recommended level,Low oil level,0
OFSAC,405,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is the oil strainer choked?,Visually check oil strainer condition,1. Dust entry,1. Check and clean the strainer,Oil strainer choke,0
OFSAC,406,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is the oil filter choked?,1. Check service history 2. Visually check filter condition,1. Service over due 2. Water entry into the oil filter,"1. Replace oil & oil filter 2. Replace oil filter and follow the steps for ""Oil emulsification""",Oil filter choked,0
OFSAC,407,English,43,Low oil pressure,Check if the actual oil pressure is lower than the set pressure in the PLC,Is the pressure relief valve malfunctioning?,Manually adjust the pressure relief valve or minimum pressure valve (MPV)setting and check oil pressure,1. Pressure relief valve or MPV setting wrong 2. Internal parts failure,1. Check and correct the pressure relief valve setting or MPV setting 2. Replace the pressure relief valve or MPV kit 3. Ensure periodic service,1.Pressure relief valve malfunctioning,0
OFSAC,408,English,44,High oil pressure,Check if the actual oil pressure is higher than the set pressure in the PLC,Is the oil pressure setting wrong?,Visually check the oil pressure setting in the PLC,1. Wrong oil pressure setting,1. Reset the oil pressure setting in PLC,Wrong oil pressure setting,0
OFSAC,409,English,44,High oil pressure,Check if the actual oil pressure is higher than the set pressure in the PLC,Is the oil pressure sensor malfunctioning?,Visually check for negative pressure value in the PLC,1. Pressure sensor failure,1. Replace the pressure sensor and ensure no negative pressure values appear in the PLC.,Pressure sensor failure,0
OFSAC,410,English,44,High oil pressure,Check if the actual oil pressure is higher than the set pressure in the PLC,Is there an analog input card failure ? ( if applicable),Visually check for negative pressure values in PLC,1. Analog card internal failure,1. Replace the IF4 card and ensure no negative pressure values appear in the PLC.,Analog card failure,0
OFSAC,411,English,44,High oil pressure,Check if the actual oil pressure is higher than the set pressure in the PLC,Is the pressure relief valve malfunctioning?,Manually adjust the pressure relief valve or minimum pressure valve ( MPV ) setting and check oil pressure,1. Pressure relief valve or MPV setting wrong 2. Internal parts failure,1 & 2. Replace the pressure relief valve or MPV kit.,Pressure relief valve malfunctioning,0
OFSAC,412,English,44,High oil pressure,Check if the actual oil pressure is higher than the set pressure in the PLC,Has the oil quality deteriorated ?,Visually check the oil condition and grade used,1. Wrong grade of oil usage 2. Oil change procedure not adhered 3. Oil change overdue 4. Sticky oil,1 Replace the recommended oil 2. Adherence to service procedure 3. Always use ELGi recommended oil 4. Ensure periodic service,Oil quality deteriorated,0
OFSAC,413,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is the water flow and inlet pressure low ?,Check the water flow using water flow meter and check the capacity of the water pump,1. Water flow (Lpm) is lesser than the specification. 2. The water inlet pipe is smaller than the recommended size.,1. Check and ensure water flow as per recommendation using the right water pump. 2. Change the water inlet pipe with the recommended size.,Low water flow,0
OFSAC,414,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is the water inlet temperature high ?,Check the water inlet temperature > 32 degC by using temperature gauge or thermal gun.,1. Inlet water temperature is not maintained as per recommendation.,1. Check and ensure water inlet temperature less than <= 32degC,High water inlet temperature,0
OFSAC,415,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is the oil cooler blocked (tube side)?,Check for pressure drop by using pressure gauge on the cooler inlet cover.,1. Oil cooler tube internally blocked,1. Clean the oil cooler internal tubes as recommended. 2. Ensure water quality,Oil cooler blocked,0
OFSAC,416,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is the oil filter choked?,1. Check service history 2. Visually check the filter condition,1. Service overdue 2. Water entry into the oil filter,1&2 . Replace the oil filter,Oil filter choked,0
OFSAC,417,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is the oil level low?,Visually check the oil level in the gear case,1. Low oil level being filled 2. Oil leakage due to loose joints or o'ring/gasket damage,1. Check and fill the oil to the recommended level 2. Retighten the joints or replace with new O'rings /gasket appropriately.,Low oil level,0
OFSAC,418,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Has the oil quality deteriorated?,Visually check the oil condition and grade used,1. Wrong grade of oil usage 2. Oil change procedure not adhered 3. Oil change overdue 4. Sticky oil,1. Use ELGi recommended oil 2. Adherence to service procedure 3. Periodic service 4. Periodic service,Oil quality deteriorated,0
OFSAC,419,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is the temperature sensor malfunctioning?,1. Check for temperature sensor loose connection 2. Check the temperature sensor resistance value with reference to sensor temperature by using a multimeter. 2.,1. Temperature sensor wire loose connection 2. Temperature sensor failure,1. Check and correct the temperature sensor wire loose connections 2. Replace the temperature sensor and ensure the temperature sensor resistance value is as per recommendation.,"Temperature sensor malfunction, Temperature sensor wire loose connections",0
OFSAC,420,English,45,High oil temperature,Check if the actual oil temperature is higher than the set pressure in the PLC,Is there a blockage in the water jacket (airend side)?,Visually check the blockage in the water jacket.,1. Dust / foreign particles entry,1. Clean the water jacket and maintain water quality,Blockage in the water jacket,0
OFSAC,421,English,46,Low inlet water pressure,Check if the actual water inlet pressure lower than the set pressure in the PLC,Is inlet water pressure setting wrong?,Visually check low inlet water pressure trip setting in the PLC,1. Wrong setting,1. Reset the water pressure trip setting as per the spec in the PLC.,Wrong water pressure setting,0
OFSAC,422,English,46,Low inlet water pressure,Check if the actual water inlet pressure lower than the set pressure in the PLC,Is the water flow and inlet pressure low ?,Check the water flow using the water flow meter and check the capacity of the water pump,1. Water flow (Lpm) is lesser than the specification. 2. Water inlet pipe is smaller than the recommended size.,1. Check and ensure water flow as per recommendation using the right water pump. 2. Change the water inlet pipe with the recommended size.,Low inlet water pressure,0
OFSAC,423,English,46,Low inlet water pressure,Check if the actual water inlet pressure lower than the set pressure in the PLC,Is the water pressure sensor malfunctioning?( if applicable),Cross-check with external pressure gauge for malfunctioning.,1. Pressure sensor failure,1. Replace the pressure sensor,Pressure sensor failure,0
OFSAC,424,English,46,Low inlet water pressure,Check if the actual water inlet pressure lower than the set pressure in the PLC,Is water inlet strainer blocked? ( if applicable),Physically check the blockage in the strainer.,1. Water entry with dust particles,1. Check and clean periodically,Inlet strainer blocked,0
OFSAC,425,English,47,High blow off pressure,Check if the actual blow off pressure is higher than the set pressure in the PLC,Is blow off pressure switch setting wrong in the PLC?,Visually check the blow off pressure setting in PLC,1. Wrong setting,1. Check and correct the setting as per operations manual.,Blow off pressure switch setting wrong,0
OFSAC,426,English,47,High blow off pressure,Check if the actual blow off pressure is higher than the set pressure in the PLC,Is blow off silencer choked ?,Visually check if the blow off silencer is choked.,1. Blow off silencer choke,1. Replace the blow-off silencer.,Blow-off silencer choked,0
OFSAC,427,English,47,High blow off pressure,Check if the actual blow off pressure is higher than the set pressure in the PLC,Is blow off pressure switch malfunctioning?,Check for potential free contact by using a multimeter.,1. Blow off pressure switch failure,1. Replace the blow-off pressure switch.,1. Blow off pressure switch malfunctioning,0
OFSAC,428,English,47,High blow off pressure,Check if the actual blow off pressure is higher than the set pressure in the PLC,Is CCV blow off seating portion properly closed during unloading?,Check for an air leak at CCV while running after removing the silencer pipe.,1. CCV stuck / partial open,1. Replace the CCV kit.,CCV stuck,0
OFSAC,429,English,47,High blow off pressure,Check if the actual blow off pressure is higher than the set pressure in the PLC,Is there a leakage through discharge check valve?,Check air leakage through silencer ( blow-off) while the machine is in stop condition.,Check valve failure,Replace the check valve and advise the customer to follow the maintenance schedule.,Leakage through DCV,0
OFSAC,430,English,48,Compressor not loading,Check if the first stage actual pressure is lower than set pressure in the PLC,Is 4way solenoid valve malfunctioning?,1. Check input voltage of solenoid coil by using a multimeter 2. Check solenoid coil condition by continuity check. 3. Check solenoid valve mechanical function manually,1. CR4 relay failure 2. No output from PLC 3. Solenoid coil failure 4. Solenoid valve internal mechanical parts failure,1. Replace CR4 relay 2. Check the writing connection / replace PLC. 3&4. Replace the 4way solenoid valve.,4way solenoid valve malfunctioning,0
OFSAC,431,English,48,Compressor not loading,Check if the first stage actual pressure is lower than set pressure in the PLC,Is there an oil leakage in the CCV?,Visually check for oil leakage in the CCV.,1. Improper tightening,1. Replace and tighten the fittings at the CCV.,Oil leakage in the CCV,0
OFSAC,432,English,48,Compressor not loading,Check if the first stage actual pressure is lower than set pressure in the PLC,Is there a delay in CCV opening ?,"1. The throttle plate is not opening within 10secs during start. (VFD models - after the main motor attains its full speed Start/Delta - after Delta change over) 2) Visual check for the CCV opening mark line to be in a vertical position. 3) Check oil pressure in the PLC""",1. Solenoid valve not energized. 2. CCV stuck because of worn-out piston seat. 3. Low oil pressure because of wrong MPV pressure setting,1. Replace the solenoid valve. 2. Replace the CCV kit. 3. Optimize the oil pressure between 1.5 to 2.2bar(g). Rotate the MPV top screw clockwise to increase the oil pressure.,Delay in CCV opening,0
OFSAC,433,English,49,Moisture in the service line,Check if water droplet through second stage airend vent hole,Is the auto drain valve malfunctioning?,Visually check,1. ADV malfunction 2. Ball valve in closed condition 3. NRV struck up,1. Replace ADV kit/Assy 2. Keep the air outlet ball valve open 3. Replace the NRV,Auto drain valve malfunctioning,0
OFSAC,434,English,49,Moisture in the service line,Check if water droplet through second stage airend vent hole,Is there leakage in inter cooler or after cooler?,Check for water leakage in airend vent hole.,1. Tube punctured,1. Replace the tube bundle,leakage in the intercooler or aftercooler,0
OFSAC,435,English,49,Moisture in the service line,Check if water droplet through second stage airend vent hole,Is there a leakage in the mist separator?,1. Check for water leakage in airend vent hole.,1. Improper seating of mesh in moisture separator housing,1. Reassemble the mist separator mesh.,Leakage in the mist separator,0
OFSAC,436,English,49,Moisture in the service line,Check if water droplet through second stage airend vent hole,Are there water traces in the blow off silencer during unloading ?,Dismantle the first stage discharge pipe and second stage suction pipe to check for water leakage.,1. O'ring damage in the cooling jacket.,1. Airend to be serviced 2. Contact ELGi service center or branch office,Water traces in the first stage suction side of airend,0
OFSAC,438,English,50,Oil emulsification,Check if oil is in milky conditions through gear case sight glass,Is the intercooler ADV malfunctioning?,Visually check,1 )ADV malfunction 2) Ball valve in closed condition 3) NRV struck up,1. Replace the ADV kit/assembly. 2. Open the ball valve. 3. Replace the NRV,Intercooler ADV malfunctioning,0
OFSAC,439,English,50,Oil emulsification,Check if oil is in milky conditions through gear case sight glass,Is there a leak in the oil cooler?,Visually check,1. Tube punctured,1. Replace the tube bundle,Oil cooler leak,0
OFSAC,440,English,50,Oil emulsification,Check if oil is in milky conditions through gear case sight glass,Is there a leak in the intercooler?,Check water leakage in airend vent hole.,1. Tube punctured,1. Replace the tube bundle,Intercooler leak,0
OFSAC,441,English,50,Oil emulsification,Check if oil is in milky conditions through gear case sight glass,Is there mist separator leakage?,Check water leakage in airend vent hole.,1. Improper seating of mesh in moisture separator housing.,1. Reassemble the mist separator mesh,Mist separator leakage,0
EPSAC,270,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the compressor operated at higher than the rated pressure,Visually check the controller display,Wrong pressure setting,Check and correct the setting as recommended in the operations manual.,"Pressure setting,wrong pressure setting",0
EPSAC,271,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the compressor suction temperature > 5 degC (41degF) than ambient?,Check the compressor suction temperature with thermometer,1) Inadequate ventilation inside the compressor room 2) Hot air source towards compressor suction,"Check and ensure that the compressor installation is done as per the guidelines in the operations manual. (for cause #1) 1. The distance of the compressor from wall and other compressors must be maintained as per manual guidelines for ventilation 2. The compressor room roof height must match the recommended levels in the manual. If the height of the roof is not as per the guidelines and if there is no possibility of increasing the roof height, ducting has to be provided as per recommendation. (Contact the nearest ELGi branch office for support) 3. Installation of the exhaust duct fan(s) and ducts must be done as per the site conditions. If not installed earlier, must be completed as per the operations manual guidelines 4. Review the air duct design layout to completely exhaust the hot air from the system 5. Check the possibility of using external exhaust fans or additional windows for adequate ventilation 6. Repair or replace exhaust fans based on their working condition 2) Hot air sources must be routed outside the compressor room ( for cause # 2 )","compressor suction temperature high, bad installation,bad ventilation, wrong installation",0
EPSAC,273,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Are the cooler fins clogged externally?,Visually check the cooler fins,"1) Cooler clogged externally due to cement, fly ash, wood dust, cotton pluff and dry dust 2) Cooler clogged externally due to sticky dusts like oil fumes, paint and chemicals",1) Clean the cooler externally as recommended in the manual ( for cause 1 & 2),"Cooler choke externally,Cooler clogged externally,",0
EPSAC,274,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the oil level low in the sump?,Check oil level through sight glass as recommended in the manual,1) High oil carryover 2) Oil leakage in the system 3) Less quantity of oil being filled,"1) Follow ""High oil carryover"" fault diagnosis steps and fill the oil to recommended level 2) Check and fix the oil leakage and top up the oil to recommended level 3) Fill the oil to recommended level",Oil level low in sump,0
EPSAC,275,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the cooling fan not running ?,Visually check the cooling fan,1) Fuse blown 2) Cable wire cut 3) Fan blade broken 4) Neutral not connected (Global 11-22kW ) 5) Fan motor locked 6) Fan capacitor failure,1) Replace fuse 2) Replace cable 3) Replace fan 4) Check and ensure the neutral connection is connected 5) Replace fan assembly 6) Check and replace the fan capacitor,"cooling fan malfunction, cooling fan not working",0
EPSAC,276,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the cooling fan running in the wrong direction?,Visually check the cooling fan direction and wiring connection,1) Incorrect connection of wires,1) Change the wiring connection as per wiring diagram in the operations manual.,"cooling fan running in wrong direction,wrong direction of fan",0
EPSAC,277,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the temperature difference between cooler outlet and air end injection is > 10 degC ?,Visually check using laser thermometer,1) Thermal valve element malfunction,1) Replace thermal valve element and / or replace the thermal valve kit,"thermal valve malfunction, thermostat failure, thermal valve failure",0
EPSAC,278,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the temperature sensor malfunctioning?,Check the resistance value of the sensor with a multimeter,1) Sensor failure 2) Wrong sensor usage,1) Replace the temperature sensor 2) Replace with the right sensor,"temperature sensor malfunction, temperature transmitter malfunction",0
EPSAC,279,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the oil-filter choked?,1. Check for indication in the controller (applicable for machines with DPOF sensor ) 2. Check the life of oil-filter based on service history record (applicable for machines without DPOF sensor),1) Dust or foreign particles entering the system,1) Replace the oil filter,"oil filter choked, oil filter failure",0
EPSAC,280,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the fan cable connection incorrect?,Visually check the fan cable connections,1) Incorrect Star / Delta fan cable connection,1) Check the fan cable connection for Star / Delta in the drawing provided in the operations manual and connect.,"cooling fan running in low speed, cooling fan speed low",0
EPSAC,281,English,28,High discharge oil temperature,Check if the compressor discharge oil temperature is >105 degC (221degF) irrespective of ambient temperature,Is the temperature difference between oil cooler inlet and outlet >25degC?,Visually check using laser thermometer,1) Dust or foreign particles entering the system,1) Check and clean the cooler internally as recommended in the operations manual,"cooler internal choke,oil cooler internal choke,oil cooler internal blockage",0
